L			V_Ratio		Volume		Surface		Surface/Volume
17.91   	0.04532 	2023    	1.763e+004	16.69   
21.86   	0.03026 	2421    	2.445e+004	17.17   
25.94   	0.01901 	2767    	3.108e+004	19.11   
29.81   	0.01152 	3042    	3.655e+004	19.92   
33.7    	0.005787	3217    	4.018e+004	20.71   
36.32   	0.002759	3314    	4.22e+004	20.91   
40.54   	0.001115	3362    	4.321e+004	20.77   
45.71   	0.000263	3377    	4.35e+004	20.66   
49.45   	5.726e-005	3380    	4.358e+004	20.74   
L			V_Ratio		Volume		Surface		Surface/Volume
0.1205  	20.21   	806.8   	918.9   	1.139   
5.74    	0.1927  	1028    	2208    	5.819   
8.727   	0.1018  	1271    	4935    	11.23   
13.82   	0.05277 	1563    	9350    	15.14   
17.86   	0.04095 	1929    	1.515e+004	15.83   
21.87   	0.03356 	2371    	2.179e+004	15.04   
25.94   	0.02059 	2746    	2.837e+004	17.51   
29.72   	0.01232 	3039    	3.389e+004	18.89   
33.91   	0.00801 	3284    	3.849e+004	18.74   
37.8    	0.004271	3446    	4.155e+004	18.92   
41.95   	0.001981	3538    	4.333e+004	19.42   
45.85   	0.0007863	3581    	4.417e+004	19.31   
49.73   	0.0002069	3595    	4.443e+004	19.35   
53.4    	4.613e-005	3598    	4.45e+004	19.4    
L			V_Ratio		Volume		Surface		Surface/Volume
0.1205  	20.3    	810.5   	923.5   	1.139   
5.74    	0.1937  	1033    	2225    	5.842   
8.727   	0.1027  	1278    	4981    	11.25   
13.82   	0.05339 	1573    	9448    	15.14   
17.86   	0.04146 	1944    	1.532e+004	15.82   
21.87   	0.03394 	2391    	2.203e+004	15.05   
25.94   	0.02084 	2771    	2.869e+004	17.5    
29.72   	0.01248 	3067    	3.428e+004	18.87   
33.91   	0.008112	3316    	3.893e+004	18.73   
37.8    	0.004326	3480    	4.203e+004	18.91   
41.95   	0.002007	3573    	4.383e+004	19.4    
45.85   	0.0007964	3616    	4.468e+004	19.29   
49.73   	0.0002095	3630    	4.494e+004	19.34   
53.4    	4.672e-005	3634    	4.501e+004	19.38   
L			V_Ratio		Volume		Surface		Surface/Volume
0.1145  	17.18   	680.1   	857.4   	1.261   
5.979   	0.1456  	859.6   	2016    	6.458   
8.29    	0.09513 	1067    	4697    	12.94   
13.82   	0.04917 	1338    	8785    	15.04   
17.67   	0.03768 	1669    	1.441e+004	17.03   
21.79   	0.02644 	2014    	2.004e+004	16.29   
25.96   	0.01682 	2321    	2.574e+004	18.57   
29.92   	0.01058 	2576    	3.045e+004	18.52   
33.9    	0.005206	2735    	3.371e+004	20.43   
37.26   	0.002529	2828    	3.564e+004	20.71   
41.59   	0.00108 	2878    	3.666e+004	20.73   
44.9    	0.0003238	2895    	3.701e+004	20.51   
49.79   	9.383e-005	2901    	3.714e+004	20.95   
52.12   	1.435e-006	2901    	3.714e+004	21.16   
L			V_Ratio		Volume		Surface		Surface/Volume
0.1116  	19.89   	784.4   	1007    	1.283   
5.772   	0.1911  	1006    	2601    	7.186   
8.027   	0.1443  	1303    	6667    	13.7    
13.79   	0.07221 	1701    	1.261e+004	14.94   
17.84   	0.05554 	2197    	2.112e+004	17.16   
21.88   	0.03543 	2663    	2.928e+004	17.49   
25.94   	0.02359 	3094    	3.753e+004	19.17   
29.81   	0.01454 	3441    	4.443e+004	19.89   
33.99   	0.007175	3662    	4.895e+004	20.47   
36.28   	0.003696	3791    	5.16e+004	20.46   
40.5    	0.001445	3853    	5.288e+004	20.5    
45.8    	0.0003419	3872    	5.326e+004	20.39   
49.49   	0.0001015	3879    	5.339e+004	20.02   
L			V_Ratio		Volume		Surface		Surface/Volume
0.1116  	17.49   	689.6   	930.2   	1.349   
5.827   	0.1749  	896     	2311    	6.693   
8.08    	0.1163  	1138    	5587    	13.53   
13.8    	0.05989 	1468    	1.051e+004	14.91   
17.91   	0.04316 	1856    	1.719e+004	17.21   
21.86   	0.02905 	2238    	2.394e+004	17.7    
25.94   	0.01861 	2578    	3.049e+004	19.28   
29.81   	0.01134 	2848    	3.592e+004	20.06   
33.7    	0.005764	3023    	3.953e+004	20.72   
36.32   	0.002753	3119    	4.155e+004	20.91   
40.54   	0.001112	3167    	4.255e+004	20.78   
45.71   	0.0002625	3182    	4.285e+004	20.67   
49.45   	5.716e-005	3185    	4.293e+004	20.74   
L			V_Ratio		Volume		Surface		Surface/Volume
0.2306  	14.7    	682.8   	806.3   	1.181   
5.513   	0.1767  	872.6   	1850    	5.498   
8.102   	0.09346 	1068    	4161    	11.83   
13.56   	0.0458  	1312    	7320    	12.92   
17.65   	0.02932 	1569    	1.13e+004	15.52   
21.61   	0.01676 	1784    	1.465e+004	15.56   
25.97   	0.01088 	1983    	1.831e+004	18.37   
29.86   	0.005301	2110    	2.08e+004	19.59   
33.2    	0.002435	2182    	2.23e+004	21.02   
37.73   	0.0008849	2215    	2.3e+004	21.02   
40.68   	0.0002914	2228    	2.327e+004	20.84   
45.47   	7.628e-005	2232    	2.335e+004	20.6    
L			V_Ratio		Volume		Surface		Surface/Volume
0.1116  	17.49   	689.6   	930.2   	1.349   
5.827   	0.1749  	896     	2311    	6.693   
8.08    	0.1163  	1138    	5587    	13.53   
13.8    	0.05989 	1468    	1.051e+004	14.91   
17.91   	0.04316 	1856    	1.719e+004	17.21   
21.86   	0.02905 	2238    	2.394e+004	17.7    
25.94   	0.01861 	2578    	3.049e+004	19.28   
29.81   	0.01134 	2848    	3.592e+004	20.06   
33.7    	0.005764	3023    	3.953e+004	20.72   
36.32   	0.002753	3119    	4.155e+004	20.91   
40.54   	0.001112	3167    	4.255e+004	20.78   
45.71   	0.0002625	3182    	4.285e+004	20.67   
49.45   	5.716e-005	3185    	4.293e+004	20.74   
L			V_Ratio		Volume		Surface		Surface/Volume
0.1116  	23.1    	910.7   	1162    	1.276   
5.827   	0.2244  	1175    	3041    	7.098   
8.08    	0.1644  	1517    	7648    	13.47   
13.8    	0.08531 	1988    	1.459e+004	14.77   
17.91   	0.06228 	2548    	2.406e+004	16.9    
21.86   	0.04224 	3103    	3.368e+004	17.32   
25.94   	0.02699 	3595    	4.3e+004	18.94   
29.81   	0.01655 	3990    	5.075e+004	19.61   
33.7    	0.008439	4246    	5.592e+004	20.24   
36.32   	0.004031	4387    	5.88e+004	20.42   
40.54   	0.001628	4458    	6.023e+004	20.28   
45.71   	0.0003844	4479    	6.066e+004	20.21   
49.45   	8.37e-005	4484    	6.077e+004	20.32   
L			V_Ratio		Volume		Surface		Surface/Volume
0.1116  	16.06   	633.4   	878.7   	1.387   
5.827   	0.1506  	811     	2203    	7.451   
8.08    	0.1107  	1041    	5398    	13.87   
13.8    	0.05732 	1357    	1.021e+004	15.22   
17.91   	0.04186 	1734    	1.674e+004	17.36   
21.86   	0.02833 	2106    	2.336e+004	17.76   
25.94   	0.01805 	2435    	2.976e+004	19.46   
